1.0578,1.1038,1.2726,1.2985,1.0462,1.4377,1.3213,1.1947,0.91362,0.794,0.91408,1.1068,1.0521,0.64771,0.63028,1.1911,0.80393,0.8036,1.2932,1.8277,1.7315,1.5908,1.902,1.878,1.8699
1.0403,1.1058,1.2736,1.2981,1.0501,1.4367,1.3221,1.1868,0.91302,0.7824,0.92094,1.0945,1.055,0.6691,0.64411,1.1999,0.79625,0.80243,1.2725,1.818,1.7237,1.5752,1.8748,1.8812,1.8463
1.0394,1.101,1.2673,1.2946,1.0519,1.4355,1.3181,1.1917,0.91398,0.77045,0.92112,1.0885,1.0522,0.66341,0.64392,1.198,0.79047,0.80161,1.2603,1.8129,1.7218,1.5907,1.8645,1.8833,1.8442
1.0414,1.0985,1.2626,1.2837,1.0719,1.4243,1.3092,1.1838,0.91199,0.76957,0.91787,1.0851,1.0506,0.66303,0.64306,1.1932,0.79217,0.79651,1.2605,1.8094,1.7228,1.5711,1.8607,1.8704,1.8248
1.0407,1.0965,1.2647,1.2807,1.0724,1.4173,1.3094,1.1811,0.90803,0.76902,0.91771,1.077,1.0477,0.66624,0.644,1.19,0.79143,0.80007,1.2855,1.8039,1.7221,1.5694,1.8274,1.8713,1.8263
1.0245,1.098,1.2567,1.2773,1.0718,1.413,1.3079,1.1779,0.90549,0.77265,0.91731,1.0743,1.0468,0.66194,0.64453,1.1894,0.79081,0.80236,1.2814,1.8032,1.7227,1.5638,1.8259,1.8543,1.8223
1.0247,1.0976,1.2537,1.2706,1.057,1.4136,1.2999,1.1701,0.90261,0.76662,0.91864,1.0689,1.0411,0.66468,0.64273,1.188,0.78725,0.80257,1.2834,1.7999,1.7271,1.5567,1.8431,1.8418,1.7974
1.0248,1.0892,1.2451,1.2694,1.0913,1.4091,1.2994,1.1672,0.8936,0.7619,0.91757,1.0644,1.0394,0.66165,0.64233,1.1817,0.78793,0.79868,1.2842,1.7979,1.7179,1.5497,1.844,1.8315,1.8136
1.0244,1.0864,1.2457,1.2625,1.1015,1.4086,1.297,1.1664,0.88333,0.76223,0.91329,1.061,1.0386,0.6578,0.63955,1.1805,0.78754,0.79734,1.2762,1.7852,1.7,1.5491,1.8443,1.8237,1.7919
1.0234,1.0827,1.245,1.2613,1.1004,1.3981,1.2872,1.1661,0.87698,0.75382,0.91222,1.0598,1.0339,0.65357,0.6378,1.1798,0.77768,0.79594,1.2746,1.7799,1.6967,1.5501,1.8374,1.8237,1.7842
1.0218,1.0821,1.2445,1.2592,1.0959,1.3959,1.2879,1.1489,0.87238,0.75035,0.9192,1.0591,1.0284,0.65334,0.63664,1.1877,0.7768,0.79311,1.2723,1.7929,1.691,1.5296,1.8446,1.8149,1.7821
